epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6188.89,0.82566,0.47054,0.88751,0.97113,0.97778,0.9926,0.75436,0.93652,0.47276,0.91025,0.0011882,0.0011882,0.0011882
43,6335.98,0.81126,0.47097,0.88296,0.99725,0.97778,0.99375,0.7261,1.02688,0.46048,0.92539,0.0011684,0.0011684,0.0011684
44,6483.14,0.80413,0.46279,0.88705,0.97822,0.99833,0.99467,0.73082,0.99516,0.47209,0.91947,0.0011486,0.0011486,0.0011486
45,6629.78,0.79822,0.44932,0.87848,0.9903,0.96667,0.99365,0.7193,1.00209,0.47649,0.92304,0.0011288,0.0011288,0.0011288
46,6776.27,0.80841,0.45205,0.89139,0.97603,0.98889,0.99342,0.72423,0.97576,0.47855,0.91397,0.001109,0.001109,0.001109
47,6922.94,0.79078,0.44405,0.87733,0.96064,0.98889,0.99326,0.74334,0.95616,0.46516,0.91363,0.0010892,0.0010892,0.0010892
48,7070.28,0.77745,0.44788,0.87614,0.98567,1,0.99489,0.74335,1.00091,0.47477,0.91687,0.0010694,0.0010694,0.0010694
49,7217.26,0.78003,0.44246,0.88005,0.99772,0.98889,0.99447,0.7478,0.93472,0.43617,0.91627,0.0010496,0.0010496,0.0010496
50,7364.62,0.79683,0.44552,0.88419,0.98509,0.98889,0.99423,0.73076,0.99077,0.44889,0.91441,0.0010298,0.0010298,0.0010298
51,7512.06,0.77631,0.45026,0.86781,0.9672,1,0.99079,0.73657,0.99988,0.47906,0.91703,0.00101,0.00101,0.00101
52,7659.49,0.78036,0.44727,0.87311,0.9524,1,0.99371,0.71218,1.08259,0.49519,0.94066,0.0009902,0.0009902,0.0009902
53,7806.89,0.8064,0.4571,0.88222,0.99619,0.97778,0.99457,0.75309,0.94674,0.42924,0.9092,0.0009704,0.0009704,0.0009704
54,7953.57,0.74913,0.42815,0.87418,0.96764,0.99669,0.98705,0.74944,0.94662,0.45708,0.90922,0.0009506,0.0009506,0.0009506
55,8100.34,0.76292,0.43909,0.86726,0.96353,1,0.99335,0.7464,0.96189,0.4653,0.90192,0.0009308,0.0009308,0.0009308
